scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route,study,parameter,value
data_rate_factor_2.00,bounded_blackout,890.594,3533.844,1.0,True,75.01,134.53,461.577,13,12,3,N01 -> N02 -> N09 -> N10 -> N08 -> N12 -> N11 -> N04 -> N05 -> N13 -> N06 -> N07 -> N14 -> N03,protocol_parameter,data_rate_factor,2.0
data_rate_factor_2.00,genetic_algorithm,994.764,4171.781,1.0,True,116.735,189.234,457.881,14,10,3,N02 -> N09 -> N08 -> N12 -> N14 -> N06 -> N10 -> N13 -> N11 -> N04 -> N07 -> N05 -> N01 -> N03,protocol_parameter,data_rate_factor,2.0
data_rate_factor_2.00,particle_swarm,1009.01,4348.849,1.0,True,94.09,191.406,455.2,14,13,3,N09 -> N10 -> N08 -> N06 -> N11 -> N14 -> N01 -> N02 -> N05 -> N04 -> N07 -> N12 -> N13 -> N03,protocol_parameter,data_rate_factor,2.0
range_factor_0.50,distance_only,2133.266,3138.331,1.0,False,203.015,990.218,881.52,14,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,range_factor,0.5
range_factor_0.50,ordinary_collection,1606.774,3159.655,1.0,False,105.212,458.095,885.375,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,range_factor,0.5
range_factor_0.50,protocol_aware,1390.009,4099.501,1.0,True,81.687,172.465,875.918,14,12,3,N08 -> N10 -> N09 -> N06 -> N12 -> N13 -> N07 -> N02 -> N05 -> N14 -> N11 -> N03 -> N04 -> N01,protocol_parameter,range_factor,0.5
range_factor_0.50,bounded_blackout,1258.124,3719.597,1.0,True,46.387,60.359,887.799,14,12,3,N01 -> N08 -> N02 -> N07 -> N04 -> N06 -> N12 -> N13 -> N09 -> N05 -> N14 -> N10 -> N11 -> N03,protocol_parameter,range_factor,0.5
range_factor_0.50,genetic_algorithm,1458.495,5366.785,1.0,True,80.676,131.186,880.078,14,13,3,N04 -> N11 -> N14 -> N10 -> N13 -> N12 -> N08 -> N03 -> N09 -> N02 -> N01 -> N06 -> N07 -> N05,protocol_parameter,range_factor,0.5
range_factor_0.50,particle_swarm,1462.784,5456.291,1.0,True,80.676,119.295,888.799,14,13,3,N04 -> N11 -> N10 -> N13 -> N07 -> N12 -> N05 -> N08 -> N02 -> N14 -> N06 -> N03 -> N09 -> N01,protocol_parameter,range_factor,0.5
range_factor_1.00,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,range_factor,1.0
range_factor_1.00,ordinary_collection,1609.248,2926.059,1.0,False,114.121,497.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,range_factor,1.0
range_factor_1.00,protocol_aware,1371.245,3147.929,1.0,True,87.981,244.276,864.642,14,12,3,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14,protocol_parameter,range_factor,1.0
range_factor_1.00,bounded_blackout,1357.891,3023.825,1.0,True,56.461,231.51,874.396,14,13,3,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04,protocol_parameter,range_factor,1.0
range_factor_1.00,genetic_algorithm,1493.225,4899.261,1.0,True,101.3,207.292,877.661,14,11,3,N12 -> N02 -> N09 -> N05 -> N06 -> N14 -> N13 -> N11 -> N08 -> N07 -> N04 -> N10 -> N01 -> N03,protocol_parameter,range_factor,1.0
range_factor_1.00,particle_swarm,1470.899,4027.962,1.0,True,116.623,301.32,833.915,14,11,3,N11 -> N13 -> N05 -> N10 -> N08 -> N12 -> N09 -> N03 -> N14 -> N02 -> N07 -> N04 -> N06 -> N01,protocol_parameter,range_factor,1.0
range_factor_1.50,distance_only,1644.919,2711.675,1.0,False,159.421,600.24,818.706,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,range_factor,1.5
range_factor_1.50,ordinary_collection,1539.808,2736.049,1.0,False,114.121,465.727,846.077,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,range_factor,1.5
range_factor_1.50,protocol_aware,1310.862,3761.271,1.0,True,93.143,163.623,833.799,14,13,3,N04 -> N11 -> N03 -> N14 -> N13 -> N12 -> N10 -> N08 -> N06 -> N07 -> N09 -> N01 -> N02 -> N05,protocol_parameter,range_factor,1.5
range_factor_1.50,bounded_blackout,1366.431,3363.687,1.0,True,57.221,272.676,813.448,14,11,3,N08 -> N01 -> N07 -> N13 -> N05 -> N11 -> N12 -> N09 -> N06 -> N03 -> N14 -> N10 -> N02 -> N04,protocol_parameter,range_factor,1.5
range_factor_1.50,genetic_algorithm,1310.862,3761.271,1.0,True,93.143,163.623,833.799,14,13,3,N04 -> N11 -> N03 -> N14 -> N13 -> N12 -> N10 -> N08 -> N06 -> N07 -> N09 -> N01 -> N02 -> N05,protocol_parameter,range_factor,1.5
range_factor_1.50,particle_swarm,1290.697,2912.672,1.0,True,86.948,226.01,821.964,14,12,3,N03 -> N04 -> N05 -> N14 -> N13 -> N12 -> N10 -> N08 -> N06 -> N09 -> N07 -> N11 -> N01 -> N02,protocol_parameter,range_factor,1.5
range_factor_2.00,distance_only,1643.099,2518.809,1.0,False,159.421,622.432,810.767,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,range_factor,2.0
range_factor_2.00,ordinary_collection,1542.478,2552.649,1.0,False,114.121,500.008,829.749,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,range_factor,2.0
range_factor_2.00,protocol_aware,1352.501,2972.58,1.0,True,121.3,266.867,837.919,14,12,3,N07 -> N13 -> N06 -> N14 -> N12 -> N05 -> N03 -> N10 -> N08 -> N02 -> N11 -> N09 -> N01 -> N04,protocol_parameter,range_factor,2.0
range_factor_2.00,bounded_blackout,1196.928,2615.419,1.0,True,75.499,152.256,826.721,13,11,3,N04 -> N06 -> N10 -> N14 -> N12 -> N13 -> N03 -> N07 -> N08 -> N05 -> N11 -> N09 -> N01 -> N02,protocol_parameter,range_factor,2.0
range_factor_2.00,genetic_algorithm,1308.326,3289.664,1.0,True,76.665,207.34,826.847,14,12,3,N04 -> N06 -> N07 -> N14 -> N02 -> N13 -> N12 -> N10 -> N08 -> N05 -> N03 -> N09 -> N01 -> N11,protocol_parameter,range_factor,2.0
range_factor_2.00,particle_swarm,1352.483,2782.406,1.0,True,70.957,279.048,841.568,14,13,3,N14 -> N06 -> N07 -> N12 -> N13 -> N10 -> N05 -> N03 -> N08 -> N02 -> N11 -> N09 -> N01 -> N04,protocol_parameter,range_factor,2.0
setup_cost_factor_0.50,distance_only,1884.684,2906.071,1.0,False,178.565,825.905,816.607,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,0.5
setup_cost_factor_0.50,ordinary_collection,1884.684,2906.071,1.0,False,178.565,825.905,816.607,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,setup_cost_factor,0.5
