scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
random_104,protocol_aware_time,1388.459,95.122,33.43,10.102,664.888,0,1,397.962,N03 -> N12 -> N08 -> N11 -> N01 -> N04 -> N10 -> N07 -> N02 -> N05 -> N06 -> N14 -> N13 -> N09
random_104,soft_penalty_w12,1345.345,70.909,29.649,7.363,664.531,1,1,355.006,N11 -> N01 -> N03 -> N08 -> N13 -> N14 -> N10 -> N07 -> N05 -> N09 -> N04 -> N02 -> N12 -> N06
random_104,average_gap,1388.459,95.122,33.43,10.102,664.888,0,1,971.776,N03 -> N12 -> N08 -> N11 -> N01 -> N04 -> N10 -> N07 -> N02 -> N05 -> N06 -> N14 -> N13 -> N09
random_104,freshness_focused,1429.843,95.122,36.983,12.372,650.322,0,1,988.43,N03 -> N12 -> N08 -> N11 -> N01 -> N04 -> N09 -> N07 -> N05 -> N02 -> N14 -> N06 -> N13 -> N10
random_104,bounded_beta90,1430.591,82.708,35.036,9.892,754.251,1,1,1969.513,N01 -> N03 -> N08 -> N05 -> N04 -> N13 -> N11 -> N07 -> N02 -> N12 -> N10 -> N14 -> N09 -> N06
random_105,distance_only,1291.775,181.41,62.811,38.27,670.869,0,1,0.027,N05 -> N02 -> N10 -> N08 -> N14 -> N04 -> N11 -> N01 -> N09 -> N13 -> N07 -> N12 -> N03 -> N06
random_105,ordinary_collection,1248.279,183.494,60.5,33.53,572.182,0,1,19.465,N05 -> N02 -> N10 -> N12 -> N06 -> N03 -> N07 -> N13 -> N09 -> N14 -> N04 -> N11 -> N01 -> N08
random_105,protocol_aware_time,876.244,88.017,35.779,15.805,502.186,1,1,273.993,N07 -> N09 -> N13 -> N14 -> N01 -> N08 -> N11 -> N04 -> N06 -> N12 -> N03 -> N05 -> N02 -> N10
random_105,soft_penalty_w12,868.963,84.106,35.267,15.116,487.206,1,1,275.073,N10 -> N07 -> N08 -> N09 -> N14 -> N12 -> N13 -> N06 -> N03 -> N04 -> N05 -> N02 -> N11 -> N01
random_105,average_gap,876.247,78.41,34.293,14.269,503.38,1,1,823.073,N01 -> N04 -> N13 -> N14 -> N06 -> N08 -> N09 -> N07 -> N11 -> N12 -> N03 -> N05 -> N02 -> N10
random_105,freshness_focused,1029.935,223.873,45.764,34.705,376.15,0,1,887.076,N01 -> N02 -> N05 -> N10 -> N11 -> N14 -> N04 -> N03 -> N13 -> N06 -> N09 -> N07 -> N12 -> N08
random_105,bounded_beta90,869.261,88.017,34.696,16.966,450.231,1,1,1809.592,N07 -> N09 -> N14 -> N13 -> N04 -> N10 -> N06 -> N12 -> N03 -> N05 -> N08 -> N02 -> N11 -> N01
random_106,distance_only,1275.725,105.205,50.393,19.826,593.239,0,1,0.024,N04 -> N07 -> N06 -> N03 -> N13 -> N09 -> N11 -> N12 -> N10 -> N08 -> N02 -> N01 -> N05 -> N14
random_106,ordinary_collection,1275.724,146.387,50.165,22.707,631.578,0,1,8.248,N04 -> N07 -> N13 -> N03 -> N06 -> N09 -> N11 -> N12 -> N10 -> N08 -> N02 -> N01 -> N05 -> N14
random_106,protocol_aware_time,962.16,68.161,27.918,9.332,541.214,1,1,286.29,N08 -> N02 -> N12 -> N11 -> N01 -> N04 -> N03 -> N05 -> N10 -> N14 -> N09 -> N13 -> N06 -> N07
random_106,soft_penalty_w12,1055.849,77.482,34.375,10.7,633.702,1,1,438.421,N13 -> N12 -> N06 -> N03 -> N02 -> N11 -> N01 -> N14 -> N05 -> N08 -> N10 -> N04 -> N09 -> N07
random_106,average_gap,963.728,93.975,27.19,10.511,534.029,0,1,734.456,N08 -> N02 -> N12 -> N01 -> N11 -> N04 -> N03 -> N05 -> N09 -> N14 -> N10 -> N13 -> N06 -> N07
random_106,freshness_focused,1035.997,78.477,33.557,11.03,443.868,1,1,839.065,N11 -> N07 -> N06 -> N12 -> N04 -> N09 -> N13 -> N10 -> N03 -> N08 -> N02 -> N01 -> N05 -> N14
random_106,bounded_beta90,962.16,68.161,27.918,9.332,541.214,1,1,1775.625,N08 -> N02 -> N12 -> N11 -> N01 -> N04 -> N03 -> N05 -> N10 -> N14 -> N09 -> N13 -> N06 -> N07
random_107,distance_only,1231.146,103.702,59.934,27.91,655.736,0,1,0.024,N04 -> N07 -> N05 -> N06 -> N10 -> N02 -> N12 -> N01 -> N09 -> N14 -> N03 -> N13 -> N08 -> N11
random_107,ordinary_collection,1227.74,101.86,59.707,27.337,679.682,0,1,12.623,N04 -> N07 -> N05 -> N06 -> N10 -> N03 -> N14 -> N09 -> N13 -> N08 -> N01 -> N12 -> N02 -> N11
random_107,protocol_aware_time,931.667,93.934,39.896,17.059,566.681,0,1,262.334,N12 -> N10 -> N06 -> N09 -> N05 -> N13 -> N08 -> N02 -> N01 -> N14 -> N03 -> N04 -> N07 -> N11
random_107,soft_penalty_w12,937.151,70.472,39.519,14.428,488.369,1,1,308.191,N06 -> N02 -> N12 -> N14 -> N08 -> N01 -> N10 -> N09 -> N13 -> N05 -> N03 -> N07 -> N11 -> N04
random_107,average_gap,881.651,125.754,35.543,18.831,583.883,0,1,763.37,N10 -> N11 -> N12 -> N09 -> N14 -> N13 -> N08 -> N02 -> N01 -> N06 -> N03 -> N04 -> N05 -> N07
random_107,freshness_focused,1002.129,93.355,44.791,21.365,434.935,0,1,754.033,N09 -> N03 -> N14 -> N08 -> N11 -> N07 -> N02 -> N01 -> N12 -> N06 -> N10 -> N04 -> N05 -> N13
random_107,bounded_beta90,805.137,59.176,31.235,12.231,316.645,1,1,1794.334,N11 -> N07 -> N05 -> N06 -> N09 -> N13 -> N08 -> N12 -> N01 -> N02 -> N14 -> N04 -> N03 -> N10
random_108,distance_only,2233.336,213.192,99.905,48.763,1233.661,0,0,0.025,N06 -> N02 -> N14 -> N01 -> N12 -> N07 -> N03 -> N08 -> N04 -> N11 -> N10 -> N05 -> N09 -> N13
random_108,ordinary_collection,2473.336,245.611,115.772,55.614,1406.737,0,0,9.004,N06 -> N02 -> N14 -> N01 -> N07 -> N12 -> N03 -> N08 -> N04 -> N11 -> N10 -> N05 -> N09 -> N13
random_108,protocol_aware_time,1404.331,115.274,44.589,15.061,719.288,0,1,572.882,N11 -> N12 -> N06 -> N01 -> N07 -> N05 -> N08 -> N10 -> N04 -> N09 -> N14 -> N02 -> N13 -> N03
random_108,soft_penalty_w12,1411.245,89.694,43.977,13.877,838.309,1,1,394.356,N02 -> N11 -> N13 -> N05 -> N08 -> N01 -> N14 -> N06 -> N07 -> N04 -> N09 -> N10 -> N12 -> N03
random_108,average_gap,1401.566,89.475,41.683,12.225,709.681,1,1,1257.902,N11 -> N01 -> N12 -> N04 -> N07 -> N05 -> N02 -> N13 -> N14 -> N09 -> N10 -> N06 -> N08 -> N03
random_108,freshness_focused,1404.271,114.704,44.322,16.689,626.981,0,1,1274.647,N12 -> N01 -> N07 -> N13 -> N04 -> N10 -> N08 -> N11 -> N05 -> N02 -> N06 -> N09 -> N14 -> N03
random_108,bounded_beta90,1404.302,59.641,43.317,11.331,711.609,1,1,2702.363,N11 -> N10 -> N12 -> N04 -> N07 -> N05 -> N08 -> N01 -> N06 -> N09 -> N13 -> N02 -> N14 -> N03
random_109,distance_only,1675.835,126.869,60.959,20.281,900.446,0,0,0.025,N12 -> N04 -> N08 -> N10 -> N03 -> N09 -> N02 -> N14 -> N01 -> N06 -> N11 -> N13 -> N07 -> N05
random_109,ordinary_collection,1645.381,126.869,59.069,19.622,984.394,0,0,11.27,N12 -> N04 -> N08 -> N10 -> N03 -> N09 -> N05 -> N07 -> N13 -> N11 -> N06 -> N02 -> N14 -> N01
random_109,protocol_aware_time,1455.829,107.495,45.903,14.928,487.919,0,1,221.418,N11 -> N14 -> N01 -> N02 -> N04 -> N03 -> N05 -> N13 -> N06 -> N10 -> N08 -> N12 -> N07 -> N09
