search_mode,node_count,seed,scenario,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,runtime_ms,route
seed_only,50,502,random_heterogeneous_iot_reference_seed_502,protocol_aware,3446.272,6344.288,146.266,0,0,9.27,N05 -> N11 -> N33 -> N39 -> N13 -> N01 -> N21 -> N23 -> N38 -> N29 -> N31 -> N03 -> N40 -> N45 -> N44 -> N22 -> N28 -> N24 -> N41 -> N34 -> N20 -> N43 -> N19 -> N16 -> N10 -> N18 -> N15 -> N02 -> N30 -> N49 -> N35 -> N26 -> N06 -> N32 -> N42 -> N04 -> N17 -> N14 -> N12 -> N50 -> N08 -> N46 -> N48 -> N36 -> N27 -> N47 -> N25 -> N09 -> N07 -> N37
seed_only,50,502,random_heterogeneous_iot_reference_seed_502,bounded_blackout,2678.49,5869.927,120.249,0,0,62.368,N46 -> N09 -> N05 -> N11 -> N06 -> N23 -> N13 -> N01 -> N33 -> N21 -> N39 -> N30 -> N17 -> N26 -> N50 -> N37 -> N45 -> N36 -> N14 -> N04 -> N35 -> N32 -> N44 -> N22 -> N19 -> N25 -> N20 -> N41 -> N34 -> N43 -> N16 -> N47 -> N24 -> N40 -> N28 -> N08 -> N42 -> N10 -> N27 -> N18 -> N02 -> N15 -> N48 -> N49 -> N38 -> N29 -> N31 -> N03 -> N07 -> N12
seed_only,50,503,random_heterogeneous_iot_reference_seed_503,distance_only,6281.891,4315.99,221.295,0,0,0.213,N20 -> N30 -> N34 -> N35 -> N07 -> N15 -> N33 -> N39 -> N21 -> N12 -> N41 -> N14 -> N36 -> N29 -> N03 -> N32 -> N06 -> N19 -> N11 -> N01 -> N40 -> N25 -> N28 -> N46 -> N16 -> N38 -> N24 -> N31 -> N09 -> N02 -> N13 -> N08 -> N44 -> N17 -> N49 -> N26 -> N37 -> N04 -> N50 -> N45 -> N18 -> N43 -> N27 -> N47 -> N10 -> N42 -> N22 -> N23 -> N05 -> N48
seed_only,50,503,random_heterogeneous_iot_reference_seed_503,protocol_aware,4398.226,5407.8,125.636,0,0,9.632,N22 -> N35 -> N34 -> N23 -> N30 -> N29 -> N16 -> N11 -> N36 -> N25 -> N12 -> N03 -> N46 -> N31 -> N17 -> N09 -> N05 -> N48 -> N24 -> N45 -> N08 -> N13 -> N37 -> N15 -> N39 -> N01 -> N41 -> N10 -> N27 -> N04 -> N26 -> N14 -> N43 -> N47 -> N18 -> N20 -> N02 -> N50 -> N07 -> N32 -> N33 -> N19 -> N42 -> N49 -> N21 -> N44 -> N38 -> N06 -> N28 -> N40
seed_only,50,503,random_heterogeneous_iot_reference_seed_503,bounded_blackout,4398.226,5407.8,125.636,0,0,58.828,N22 -> N35 -> N34 -> N23 -> N30 -> N29 -> N16 -> N11 -> N36 -> N25 -> N12 -> N03 -> N46 -> N31 -> N17 -> N09 -> N05 -> N48 -> N24 -> N45 -> N08 -> N13 -> N37 -> N15 -> N39 -> N01 -> N41 -> N10 -> N27 -> N04 -> N26 -> N14 -> N43 -> N47 -> N18 -> N20 -> N02 -> N50 -> N07 -> N32 -> N33 -> N19 -> N42 -> N49 -> N21 -> N44 -> N38 -> N06 -> N28 -> N40
seed_only,100,501,random_heterogeneous_iot_reference_seed_501,distance_only,9718.475,5088.661,227.982,0,0,0.757,N29 -> N62 -> N22 -> N98 -> N05 -> N56 -> N92 -> N12 -> N27 -> N21 -> N64 -> N03 -> N90 -> N10 -> N77 -> N20 -> N47 -> N34 -> N11 -> N39 -> N53 -> N18 -> N36 -> N08 -> N63 -> N14 -> N88 -> N68 -> N02 -> N04 -> N60 -> N73 -> N76 -> N65 -> N23 -> N50 -> N30 -> N43 -> N26 -> N31 -> N71 -> N61 -> N01 -> N41 -> N70 -> N42 -> N93 -> N57 -> N40 -> N91 -> N37 -> N46 -> N78 -> N54 -> N86 -> N75 -> N97 -> N94 -> N82 -> N24 -> N66 -> N69 -> N51 -> N45 -> N67 -> N48 -> N81 -> N13 -> N55 -> N32 -> N35 -> N79 -> N84 -> N74 -> N49 -> N17 -> N87 -> N58 -> N52 -> N33 -> N07 -> N44 -> N83 -> N28 -> N59 -> N06 -> N96 -> N95 -> N38 -> N09 -> N100 -> N72 -> N89 -> N15 -> N80 -> N19 -> N16 -> N25 -> N85 -> N99
seed_only,100,501,random_heterogeneous_iot_reference_seed_501,protocol_aware,6623.702,9039.589,136.799,0,0,33.006,N22 -> N62 -> N29 -> N27 -> N56 -> N85 -> N72 -> N100 -> N73 -> N89 -> N19 -> N15 -> N53 -> N88 -> N34 -> N75 -> N11 -> N39 -> N26 -> N30 -> N43 -> N31 -> N84 -> N01 -> N70 -> N41 -> N71 -> N42 -> N33 -> N74 -> N35 -> N49 -> N87 -> N55 -> N32 -> N81 -> N45 -> N66 -> N69 -> N09 -> N07 -> N59 -> N83 -> N48 -> N67 -> N63 -> N04 -> N02 -> N18 -> N08 -> N94 -> N64 -> N12 -> N92 -> N16 -> N90 -> N60 -> N52 -> N61 -> N95 -> N10 -> N51 -> N54 -> N65 -> N21 -> N76 -> N03 -> N77 -> N50 -> N37 -> N46 -> N25 -> N78 -> N86 -> N23 -> N93 -> N40 -> N68 -> N82 -> N44 -> N96 -> N79 -> N98 -> N24 -> N06 -> N58 -> N17 -> N80 -> N36 -> N13 -> N14 -> N28 -> N57 -> N05 -> N91 -> N38 -> N97 -> N47 -> N20 -> N99
seed_only,100,501,random_heterogeneous_iot_reference_seed_501,bounded_blackout,6623.702,9039.589,120.209,0,0,202.352,N22 -> N62 -> N29 -> N27 -> N56 -> N85 -> N72 -> N100 -> N73 -> N89 -> N19 -> N15 -> N53 -> N88 -> N34 -> N75 -> N11 -> N39 -> N26 -> N30 -> N43 -> N31 -> N84 -> N01 -> N70 -> N41 -> N71 -> N42 -> N33 -> N74 -> N35 -> N49 -> N87 -> N55 -> N32 -> N81 -> N45 -> N66 -> N69 -> N09 -> N07 -> N59 -> N83 -> N48 -> N67 -> N63 -> N04 -> N02 -> N18 -> N08 -> N94 -> N64 -> N12 -> N92 -> N16 -> N90 -> N60 -> N52 -> N61 -> N95 -> N10 -> N51 -> N54 -> N65 -> N21 -> N76 -> N03 -> N77 -> N50 -> N37 -> N46 -> N25 -> N78 -> N86 -> N23 -> N93 -> N40 -> N68 -> N82 -> N44 -> N96 -> N79 -> N98 -> N24 -> N06 -> N58 -> N17 -> N80 -> N36 -> N13 -> N14 -> N28 -> N20 -> N57 -> N91 -> N05 -> N38 -> N97 -> N47 -> N99
seed_only,100,502,random_heterogeneous_iot_reference_seed_502,distance_only,9788.917,4681.149,214.969,0,0,0.764,N11 -> N93 -> N84 -> N06 -> N36 -> N91 -> N13 -> N23 -> N83 -> N01 -> N09 -> N77 -> N58 -> N95 -> N59 -> N21 -> N33 -> N99 -> N82 -> N86 -> N30 -> N52 -> N39 -> N49 -> N05 -> N15 -> N98 -> N92 -> N87 -> N81 -> N72 -> N10 -> N53 -> N28 -> N73 -> N57 -> N19 -> N55 -> N44 -> N74 -> N67 -> N75 -> N90 -> N16 -> N78 -> N25 -> N20 -> N12 -> N43 -> N41 -> N22 -> N07 -> N69 -> N97 -> N24 -> N40 -> N68 -> N85 -> N60 -> N34 -> N71 -> N88 -> N65 -> N63 -> N79 -> N51 -> N70 -> N08 -> N03 -> N27 -> N64 -> N42 -> N38 -> N96 -> N62 -> N94 -> N48 -> N29 -> N31 -> N45 -> N66 -> N35 -> N04 -> N37 -> N32 -> N47 -> N61 -> N56 -> N100 -> N26 -> N76 -> N14 -> N80 -> N50 -> N46 -> N17 -> N89 -> N54 -> N02 -> N18
seed_only,100,502,random_heterogeneous_iot_reference_seed_502,protocol_aware,7496.253,8996.063,161.919,0,0,30.688,N86 -> N93 -> N91 -> N33 -> N23 -> N13 -> N11 -> N59 -> N82 -> N52 -> N05 -> N21 -> N39 -> N17 -> N45 -> N66 -> N38 -> N42 -> N62 -> N35 -> N40 -> N70 -> N79 -> N71 -> N68 -> N24 -> N41 -> N34 -> N43 -> N97 -> N85 -> N44 -> N22 -> N04 -> N65 -> N55 -> N19 -> N57 -> N53 -> N28 -> N10 -> N16 -> N20 -> N54 -> N72 -> N81 -> N99 -> N15 -> N49 -> N92 -> N18 -> N87 -> N02 -> N58 -> N01 -> N77 -> N95 -> N29 -> N31 -> N03 -> N51 -> N64 -> N63 -> N88 -> N14 -> N100 -> N74 -> N26 -> N73 -> N32 -> N30 -> N50 -> N80 -> N76 -> N06 -> N46 -> N56 -> N90 -> N98 -> N67 -> N07 -> N75 -> N61 -> N60 -> N83 -> N96 -> N36 -> N84 -> N94 -> N69 -> N08 -> N27 -> N12 -> N48 -> N78 -> N25 -> N37 -> N09 -> N89 -> N47
