profile_variant,planner,scenarios,budget_violations,endurance_violations,joint_violations,total_time_s_mean,total_time_s_std,total_time_s_ci95,flight_distance_m_mean,flight_distance_m_std,flight_distance_m_ci95,max_blackout_s_mean,max_blackout_s_std,max_blackout_s_ci95,wait_time_s_mean,wait_time_s_std,wait_time_s_ci95,service_time_s_mean,service_time_s_std,service_time_s_ci95,protocol_switches_mean,protocol_switches_std,protocol_switches_ci95,radio_obstacle_hits_mean,radio_obstacle_hits_std,radio_obstacle_hits_ci95,runtime_ms_mean,runtime_ms_std,runtime_ms_ci95
literature_aligned,bounded_blackout,50,17,39,39,2101.018,724.633,200.858,3342.262,641.577,177.836,81.475,24.95,6.916,220.4,106.499,29.52,1600.05,675.831,187.331,9.12,1.48,0.41,1.96,1.47,0.407,1887.166,399.704,110.792
literature_aligned,distance_only,50,49,46,49,2691.3,853.033,236.449,2617.358,308.907,85.625,213.048,61.44,17.03,892.198,260.3,72.151,1579.105,695.228,192.707,9.82,1.612,0.447,1.96,1.47,0.407,0.027,0.003,0.001
literature_aligned,genetic_algorithm,50,30,40,43,2147.701,731.441,202.745,3367.75,545.805,151.289,96.507,19.313,5.353,275.808,100.752,27.927,1588.959,691.607,191.704,9.16,1.583,0.439,1.96,1.47,0.407,694.4,39.912,11.063
literature_aligned,ordinary_collection,50,50,47,50,2690.515,837.091,232.03,2441.023,246.965,68.455,221.446,53.377,14.795,895.415,218.161,60.471,1590.065,696.207,192.979,9.72,1.471,0.408,1.96,1.47,0.407,13.01,5.12,1.419
literature_aligned,particle_swarm,50,37,41,45,2159.602,721.706,200.047,3430.665,654.938,181.54,100.129,19.646,5.446,285.253,103.779,28.766,1586.588,692.713,192.01,9.22,1.556,0.431,1.96,1.47,0.407,230.39,40.515,11.23
literature_aligned,protocol_aware,50,31,39,43,2144.784,715.231,198.252,3447.837,621.874,172.375,98.212,22.471,6.229,267.995,93.36,25.878,1587.217,678.874,188.174,9.0,1.512,0.419,1.96,1.47,0.407,311.921,93.185,25.83
