scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
702,5.0,bounded_blackout,1430.911,3040.161,54.708,1,1,1547.371,N06 -> N12 -> N02 -> N08 -> N03 -> N14 -> N11 -> N07 -> N10 -> N13 -> N09 -> N01 -> N05 -> N04
702,10.0,distance_only,1874.311,2692.509,183.458,0,0,0.025,N07 -> N14 -> N11 -> N08 -> N12 -> N09 -> N05 -> N13 -> N10 -> N02 -> N03 -> N01 -> N04 -> N06
702,10.0,protocol_aware,1425.294,3114.22,82.712,1,1,221.006,N06 -> N05 -> N11 -> N08 -> N12 -> N14 -> N03 -> N02 -> N01 -> N13 -> N09 -> N10 -> N07 -> N04
702,10.0,bounded_blackout,1430.632,3040.161,57.759,1,1,1547.371,N06 -> N12 -> N02 -> N08 -> N03 -> N14 -> N11 -> N07 -> N10 -> N13 -> N09 -> N01 -> N05 -> N04
702,20.0,distance_only,2103.831,2692.509,215.604,0,0,0.025,N07 -> N14 -> N11 -> N08 -> N12 -> N09 -> N05 -> N13 -> N10 -> N02 -> N03 -> N01 -> N04 -> N06
702,20.0,protocol_aware,1929.226,3114.22,213.895,0,0,221.006,N06 -> N05 -> N11 -> N08 -> N12 -> N14 -> N03 -> N02 -> N01 -> N13 -> N09 -> N10 -> N07 -> N04
702,20.0,bounded_blackout,1454.564,3040.161,73.102,1,1,1547.371,N06 -> N12 -> N02 -> N08 -> N03 -> N14 -> N11 -> N07 -> N10 -> N13 -> N09 -> N01 -> N05 -> N04
702,30.0,distance_only,1896.714,2692.509,201.811,0,0,0.025,N07 -> N14 -> N11 -> N08 -> N12 -> N09 -> N05 -> N13 -> N10 -> N02 -> N03 -> N01 -> N04 -> N06
702,30.0,protocol_aware,1696.063,3114.22,163.185,0,0,221.006,N06 -> N05 -> N11 -> N08 -> N12 -> N14 -> N03 -> N02 -> N01 -> N13 -> N09 -> N10 -> N07 -> N04
702,30.0,bounded_blackout,2181.401,3040.161,221.552,0,0,1547.371,N06 -> N12 -> N02 -> N08 -> N03 -> N14 -> N11 -> N07 -> N10 -> N13 -> N09 -> N01 -> N05 -> N04
703,0.0,distance_only,2030.24,3057.976,184.23,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,0.0,protocol_aware,1517.609,3589.682,69.592,1,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,0.0,bounded_blackout,1495.191,3362.77,54.024,1,1,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
703,2.0,distance_only,1969.229,3057.976,185.761,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,2.0,protocol_aware,1758.359,3589.682,177.327,0,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,2.0,bounded_blackout,1496.849,3362.77,54.945,1,1,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
703,5.0,distance_only,2026.48,3057.976,179.408,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,5.0,protocol_aware,1522.056,3589.682,67.491,1,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,5.0,bounded_blackout,1499.6,3362.77,58.764,1,1,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
703,10.0,distance_only,1962.216,3057.976,176.126,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,10.0,protocol_aware,1525.398,3589.682,68.124,1,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,10.0,bounded_blackout,1498.499,3362.77,47.568,1,1,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
703,20.0,distance_only,2032.204,3057.976,175.197,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,20.0,protocol_aware,1519.003,3589.682,65.282,1,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,20.0,bounded_blackout,1868.996,3362.77,138.434,0,0,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
703,30.0,distance_only,1977.027,3057.976,181.359,0,0,0.021,N07 -> N03 -> N04 -> N10 -> N01 -> N02 -> N06 -> N12 -> N09 -> N11 -> N14 -> N05 -> N13 -> N08
703,30.0,protocol_aware,2237.606,3589.682,215.467,0,0,319.152,N10 -> N07 -> N04 -> N08 -> N06 -> N01 -> N11 -> N12 -> N05 -> N09 -> N02 -> N03 -> N13 -> N14
703,30.0,bounded_blackout,1748.858,3362.77,172.163,0,0,2136.861,N05 -> N02 -> N12 -> N11 -> N10 -> N09 -> N01 -> N13 -> N14 -> N08 -> N06 -> N03 -> N07 -> N04
704,0.0,distance_only,1885.675,3343.178,197.706,0,0,0.021,N14 -> N13 -> N03 -> N04 -> N06 -> N01 -> N10 -> N02 -> N12 -> N11 -> N09 -> N08 -> N07 -> N05
