profile_variant,planner,scenarios,budget_violations,endurance_violations,joint_violations,total_time_s_mean,total_time_s_std,total_time_s_ci95,max_blackout_s_mean,max_blackout_s_std,max_blackout_s_ci95,mean_gap_s_mean,mean_gap_s_std,mean_gap_s_ci95,average_silence_age_s_mean,average_silence_age_s_std,average_silence_age_s_ci95,mean_collection_completion_s_mean,mean_collection_completion_s_std,mean_collection_completion_s_ci95,runtime_ms_mean,runtime_ms_std,runtime_ms_ci95
public_measurement_informed,average_gap,50,25,40,42,2175.508,728.104,201.82,91.608,19.445,5.39,36.545,5.422,1.503,7.382,2.544,0.705,1020.859,384.002,106.44,857.51,209.19,57.985
public_measurement_informed,bounded_beta90,50,10,38,38,2105.355,727.262,201.587,76.16,28.858,7.999,35.191,7.351,2.038,6.614,2.771,0.768,991.947,414.616,114.926,1956.043,403.197,111.761
public_measurement_informed,freshness_focused,50,40,43,49,2334.23,767.311,212.688,153.979,63.407,17.576,50.826,11.934,3.308,14.939,7.251,2.01,748.923,284.703,78.916,864.777,209.561,58.087
public_measurement_informed,protocol_aware_time,50,26,40,43,2156.889,717.185,198.794,97.159,28.685,7.951,40.241,7.244,2.008,8.745,2.85,0.79,988.304,403.224,111.768,323.589,99.195,27.495
public_measurement_informed,soft_penalty_w12,50,15,40,40,2176.187,729.679,202.257,85.227,14.448,4.005,40.172,6.438,1.785,8.192,2.402,0.666,1038.861,396.428,109.884,338.01,98.023,27.171
