scenario,planner,study,parameter,value,replicates,route,total_time_s,flight_distance_m,success_rate,max_blackout_s,reconnect_count,protocol_switches,radio_obstacle_hits
protocol_ratio_0.25,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.25,1,,644.699,3716.518,1.0,70.281,10.0,3.0,1.0
protocol_ratio_0.25,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.25,1,,773.204,2892.355,1.0,96.317,13.0,3.0,1.0
protocol_ratio_0.25,particle_swarm,protocol_ratio,heterogeneity_ratio,0.25,1,,600.156,3213.806,1.0,54.439,12.0,3.0,1.0
protocol_ratio_0.25,protocol_aware,protocol_ratio,heterogeneity_ratio,0.25,1,,670.506,3934.492,1.0,60.15,13.0,3.0,1.0
protocol_ratio_0.5,bounded_blackout,protocol_ratio,heterogeneity_ratio,0.5,1,,596.911,3421.817,1.0,53.143,13.0,6.0,2.0
protocol_ratio_0.5,distance_only,protocol_ratio,heterogeneity_ratio,0.5,1,,902.384,3006.8,1.0,99.877,13.0,6.0,2.0
protocol_ratio_0.5,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.5,1,,596.911,3421.817,1.0,53.143,13.0,6.0,2.0
protocol_ratio_0.5,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.5,1,,902.384,3006.8,1.0,99.877,13.0,6.0,2.0
protocol_ratio_0.5,particle_swarm,protocol_ratio,heterogeneity_ratio,0.5,1,,586.249,3048.284,1.0,84.531,12.0,5.0,2.0
protocol_ratio_0.5,protocol_aware,protocol_ratio,heterogeneity_ratio,0.5,1,,596.911,3421.817,1.0,53.143,13.0,6.0,2.0
protocol_ratio_0.75,bounded_blackout,protocol_ratio,heterogeneity_ratio,0.75,1,,673.511,3105.354,1.0,51.521,13.0,9.0,2.0
protocol_ratio_0.75,distance_only,protocol_ratio,heterogeneity_ratio,0.75,1,,902.439,3047.466,1.0,121.716,13.0,9.0,2.0
protocol_ratio_0.75,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.75,1,,673.511,3105.354,1.0,51.521,13.0,9.0,2.0
protocol_ratio_0.75,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.75,1,,902.439,3047.466,1.0,121.716,13.0,9.0,2.0
protocol_ratio_0.75,particle_swarm,protocol_ratio,heterogeneity_ratio,0.75,1,,673.511,3105.354,1.0,51.521,13.0,9.0,2.0
protocol_ratio_0.75,protocol_aware,protocol_ratio,heterogeneity_ratio,0.75,1,,673.511,3105.354,1.0,51.521,13.0,9.0,2.0
protocol_ratio_1,bounded_blackout,protocol_ratio,heterogeneity_ratio,1.0,1,,1357.891,3023.825,1.0,56.461,14.0,13.0,3.0
protocol_ratio_1,distance_only,protocol_ratio,heterogeneity_ratio,1.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
protocol_ratio_1,genetic_algorithm,protocol_ratio,heterogeneity_ratio,1.0,1,,1493.225,4899.261,1.0,101.3,14.0,11.0,3.0
protocol_ratio_1,ordinary_collection,protocol_ratio,heterogeneity_ratio,1.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
protocol_ratio_1,particle_swarm,protocol_ratio,heterogeneity_ratio,1.0,1,,1392.147,3643.342,1.0,84.698,14.0,12.0,3.0
protocol_ratio_1,protocol_aware,protocol_ratio,heterogeneity_ratio,1.0,1,,1371.245,3147.929,1.0,87.981,14.0,12.0,3.0
